observable_id	source_id	kind	variable_id	J_h_normalized	J_2h_normalized	J_tight_normalized	E_normalized	R_step	R_step_limit	R_conv	R_conv_limit	signal	uncertainty	finite_difference_status
ANGLE|A|F2-C1-C3	GEO_A	angle	CC_FOURIER_1	0.0010822320064717299	0.00055493002817896581	0.00079277380856298944	0.00081969584187864791	0.48723561596728499	0.10	0.26746408919509412	0.05	0.0010822320064717299	0.00081969584187864791	REVIEW
ANGLE|A|F2-C1-C3	GEO_A	angle	CC_FOURIER_2	0.0011863952345184912	0.0011738691125008575	0.0012854232540092084	0.00011393304466392639	0.01055813581611155	0.10	0.077039231383010068	0.05	0.0011863952345184912	0.00011393304466392639	REVIEW
ANGLE|A|F2-C1-C3	GEO_A	angle	CC_FOURIER_3	-0.0010317803100221695	-0.001119573346469912	-0.00095148384409828154	0.00017001287058278242	0.078416511722576868	0.10	0.077823219869511462	0.05	0.0010317803100221695	0.00017001287058278242	REVIEW
ANGLE|A|F2-C1-C3	GEO_A	angle	CC_FOURIER_4	0.00032234168601744979	0.0001271963028910492	4.4814518083081354e-05	0.00047406446117329411		0.10		0.05	0.00032234168601744979	0.00047406446117329411	UNIDENTIFIABLE
ANGLE|A|F3-C2-F4	GEO_A	angle	CC_FOURIER_1	-0.00050580893323600579	-0.0003391220416941184	-0.00042782438185934806	0.00024977960164691712	0.32954517128726318	0.10	0.15417788467621005	0.05	0.00050580893323600579	0.00024977960164691712	REVIEW
ANGLE|A|F3-C2-F4	GEO_A	angle	CC_FOURIER_2	0.00024597204502649746	0.00032360450343930567	0.0002819547525980337	0.00011775452542451364	0.23989919048629288	0.10	0.12761873045223918	0.05	0.00024597204502649746	0.00011775452542451364	REVIEW
ANGLE|A|F3-C2-F4	GEO_A	angle	CC_FOURIER_3	-8.9203847596276876e-05	-0.00020112761018866964	-0.0003061941326470892	0.00033226076905545156		0.10		0.05	8.9203847596276876e-05	0.00033226076905545156	UNIDENTIFIABLE
ANGLE|A|F3-C2-F4	GEO_A	angle	CC_FOURIER_4	3.0618308949726883e-05	9.3357307637212563e-06	-3.9346084227984463e-05	9.3668941940770186e-05		0.10		0.05	3.0618308949726883e-05	9.3668941940770186e-05	UNIDENTIFIABLE
ANGLE|A|F3-C2-C1	GEO_A	angle	CC_FOURIER_1	0.0016355072529517011	0.0006407265405454799	0.0012747418773693168	0.0013585375857551164	0.60823986601764002	0.10	0.22058317071433875	0.05	0.0016355072529517011	0.0013585375857551164	REVIEW
ANGLE|A|F3-C2-C1	GEO_A	angle	CC_FOURIER_2	-0.0019198310165628543	-0.0016472464221201726	-0.0014420173434244825	0.00075282241432818352	0.14198363923232168	0.10	0.24888319285195193	0.05	0.0019198310165628543	0.00075282241432818352	REVIEW
