observable_id	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	rounding_bound_h_raw	rounding_bound_2h_raw	rounding_bound_tight_raw	step_disagreement_raw	convergence_disagreement_raw
ANGLE|A|F2-C1-C3	CC_FOURIER_1	0.01774917997089176	0.009101147334860116	0.01300191171601739	1.3756107111797666e-05	6.8780820591694325e-06	1.3756180744712412e-05	0.008648032636031644	0.0047472682548743705
ANGLE|A|F3-C2-F4	CC_FOURIER_1	-0.005079957142584135	-0.0034058817958992904	-0.004296740096094709	1.4657827466115195e-05	7.328932506266094e-06	1.46578426147495e-05	0.0016740753466848446	0.0007832170464894261
ANGLE|A|F3-C2-C1	CC_FOURIER_1	0.02682318800658834	0.01050825572729508	0.02090644414742826	1.4017701850377666e-05	7.008893351224569e-06	1.4017855908576263e-05	0.01631493227929326	0.0059167438591600785
ANGLE|A|F4-C2-C1	CC_FOURIER_1	-0.022384153249888072	-0.01448563904421718	-0.01946553162490261	1.3989936665344322e-05	6.9949882410651215e-06	1.3990050101388441e-05	0.007898514205670892	0.0029186216249854624
ANGLE|A|F5-C3-F6	CC_FOURIER_1	0.0027305144929812286	0.0036814776591143072	0.001672523085147759	1.4551167213924576e-05	7.275573065532078e-06	1.4551154314317645e-05	0.0009509631661330786	0.0010579914078334696
ANGLE|A|F5-C3-C1	CC_FOURIER_1	0.008083532484093325	0.0032242737158227897	-0.001969619686192914	1.3799803576428587e-05	6.899953022373567e-06	1.3799922812781113e-05	0.004859258768270536	0.01005315217028624
ANGLE|A|F5-C3-C4	CC_FOURIER_1	-0.010513269752507881	-0.015803132601028835	-0.009378869119487376	1.3933296572848828e-05	6.966694646366882e-06	1.3933381323651915e-05	0.005289862848520954	0.0011344006330205048
ANGLE|A|F6-C3-C1	CC_FOURIER_1	-0.006120735449712811	-0.005825705105806378	-0.0018635351388240906	1.3757699599685145e-05	6.878865410254044e-06	1.3757764608460726e-05	0.0002950303439064328	0.00425720031088872
ANGLE|A|F6-C3-C4	CC_FOURIER_1	0.006229821050212081	0.005412338989643217	0.003114019391503575	1.3891192740331492e-05	6.945607106258063e-06	1.3891223263595606e-05	0.0008174820605688637	0.003115801658708506
ANGLE|A|F7-C4-F8	CC_FOURIER_1	-0.0009885875477522177	-0.0007894631629312698	-0.00226248910436766	1.4699943885917628e-05	7.349975591422719e-06	1.46999338549059e-05	0.00019912438482094785	0.0012739015566154421
