observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_normalized__R_OG2P1-SG3O1	J_2h_normalized__R_CG312-SG3O1	J_2h_normalized__R_CG312-CG312	J_2h_normalized__R_CG302-CG312	J_2h_normalized__TH_OG2P1-SG3O1-OG2P1	J_2h_normalized__TH_FGA2-CG312-FGA2	J_2h_normalized__TH_CG312-CG312-SG3O1	J_2h_normalized__TH_FGA3-CG302-FGA3	J_2h_normalized__LAMBDA_CS	J_2h_normalized__LAMBDA_CC
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.47585870856303725	-0.0025221853901894833	-0.0007689911611960839	0.00018401546178800938	-0.0174009836531643	0.0007204090044772416	-0.0003395056169607718	1.4597047387179509e-05	0.00017689174986518845	-0.00020418757851192737
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.043386008878490916	0.6901391549695273	-0.12161279890849529	0.00035560894702623254	0.04719975859113708	0.04534326853839581	-0.0421207101025563	0.000438266021080803	-0.001014607903949857	0.0006994017863973154
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.001059048123855598	-0.0033199165390170042	-0.012779728451699552	-0.001364814823291426	-0.0009162255829055161	-0.003779396635005404	-0.001841732457013605	0.0008041114133221759	-0.00036836262772070675	6.707486885083994e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.001224495331924175	-0.002327627345912385	-0.011028441463888332	-0.0025486202894300816	-7.011565044922813e-06	-0.0010484534245356518	-0.0007266895997401277	-0.00029687769220539914	3.379058820885259e-05	-1.8781206043576005e-05
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.002221334127584051	-0.014856506352113689	-0.008190274384041579	-0.00012870783030777364	0.002136063288506735	-0.0021665098294767187	0.003002757570829422	-4.627307039448365e-07	-0.00022345140358139787	-7.970520183053573e-06
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0022502583426704027	-0.014358674751737226	-0.007775179532619232	-0.0013533479631344964	0.001868596543670905	-0.0003550285578768992	0.0029351814434539865	0.0007306386802609109	0.0001328932291462244	-4.696205006970076e-05
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.00038664688228024803	2.4843582655990203e-05	-0.008034951154740662	-0.004420769591094875	0.0003433248171271148	-0.0025989612321843866	-0.00012100230980762289	0.0024742637339764824	6.338168412623022e-05	-3.304904214777588e-05
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0004686059092813573	-0.0007604073187836745	-0.01086459684079234	-0.0054998181459006475	0.0004444376792980419	-0.003669237192356981	-0.0005330835157336256	0.003210643390585822	0.00020838752300968443	-9.282475206460913e-05
BOND|B|F7-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-1.835427812821619e-05	-0.0001614704412400414	-0.004556863775962489	-0.006428984263790522	0.00023923141018486778	0.0023290155099282067	0.00022937645926781846	-0.03394085736261999	0.00032519566500127043	-4.793743590044326e-05
BOND|B|F8-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0008741368226637834	1.0268796945483376e-05	-0.003414557117325461	-0.012911728303008659	0.00026907198582498063	0.0005679194423994597	-0.00030946680448784564	-0.02980322700857043	0.0001423301773816209	2.5029376892070508e-05
BOND|B|F9-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0002896168213553343	-0.00011826566592709753	-0.0027624306437015436	-0.007426276271954579	0.00038018994243876273	0.001082354503500101	-8.045762955414629e-05	-0.03337023235099508	-0.0002576278555395846	5.296842440586739e-05
BOND|B|C1-C2	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.00501869225010543	-0.050274573901031565	0.5469147626997122	-0.007194761206730752	0.006816956204782116	0.016696649783378766	-0.03240902827562339	-0.0005197426756033656	8.379127297770645e-05	0.00010347484523902826
BOND|B|C1-C3	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.000942365863730088	-0.007882302953119522	0.5460788184055722	-0.03341836606645019	0.0017453304622192243	0.02109169352776394	-0.002437527358383377	0.011558033729574172	0.0006331406937680649	-0.0008961044339262133
BOND|B|C3-C4	bond	bond	CG302-CG312	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.0009138396123250554	-1.0328124982779131e-05	-0.056985859314987015	0.8731537267843619	0.0003040814234729626	0.011251651730999821	-0.002755608356572484	0.046780380575558694	-0.00030834326244700763	-0.000400076254247141
