observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_raw__R_OG2P1-SG3O1	J_h_tight_raw__R_CG312-SG3O1	J_h_tight_raw__R_CG312-CG312	J_h_tight_raw__R_CG302-CG312	J_h_tight_raw__TH_OG2P1-SG3O1-OG2P1	J_h_tight_raw__TH_FGA2-CG312-FGA2	J_h_tight_raw__TH_CG312-CG312-SG3O1	J_h_tight_raw__TH_FGA3-CG302-FGA3	J_h_tight_raw__LAMBDA_CS	J_h_tight_raw__LAMBDA_CC
ANGLE|A|O2-S1-O3	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	-84.45730205527724	17.42631571470099	1.4295566918391955	2.986671785812689	0.4907735724083153	-0.014013829970522806	0.020129558623565913	-0.00611864561101072	0.009713844978307407	-0.006263243251538597
ANGLE|A|O2-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	90.53789324644157	-18.413006125470588	-7.876160299126411	3.2481939006743232	-0.5915863513600854	-0.02922544245292613	0.04501310162081751	-0.007257003288721364	-0.1285763490967895	-0.004904680103976489
ANGLE|A|O3-S1-C2	angle	angle	CG312-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	101.76942889436447	-20.874757420521917	2.696041528444937	-1.4616423304971704	-0.5545948277368993	0.029341028389460178	-0.06943129044363872	0.002826567093329402	-0.16617531887220593	0.06852154565507362
ANGLE|A|C1-C3-C4	angle	angle	CG302-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	1.2271540929660318	-2.6783233713629784	-125.89279927798458	-82.03789683710738	0.006417158752107355	0.04469144826806826	0.007984484095885591	0.08484621235740519	-0.05056495217814927	0.013326321696922605
ANGLE|A|C2-C1-C3	angle	angle	CG312-CG312-CG312	A	GEO_A	degree	0.21320071635561041	3.0	-2.3882059100444053	-9.198620596528428	-114.37126415645338	-18.398131430600984	0.023227780321626312	0.08083839169325557	-0.0782244247724293	0.017141817987003094	0.2906245836122423	-0.11269948425479015
BOND|B|S1-O1	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.574767851802667	-0.046314123506752125	-0.014277069446788637	-0.0020729557124177234	-0.0006110791152359463	2.361309509391063e-05	-1.5993896939514585e-05	5.0496448249504056e-06	-4.340438191308138e-05	2.2032329094479053e-05
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.567282685178256	-0.06135885211133729	-0.015967340947331543	-0.0019230646810530772	-0.0005682701469189588	1.2251724861966906e-05	-6.473420789521178e-06	4.530519934209387e-06	8.881143160888172e-06	-5.899317507829238e-06
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	8.567612161907823	-0.04310368008864085	-0.011178006483314462	0.0009555302379338215	-0.0006293546165628827	3.0312663072740165e-05	-1.1150416699523547e-05	4.545478463735542e-06	6.921147528426985e-06	-9.305169079709685e-06
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	-0.43941245784762106	7.183182508525787	-1.2490312096954392	0.0008725884881322088	0.0009826030262922725	0.0009569570647876002	-0.000851771059541373	1.0706590837572527e-05	-7.14915224864221e-05	-1.8635575353975753e-05
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.02368914610528794	-0.08848422444329707	-0.32687962569555307	-0.03224383183053625	-4.739440220236091e-05	-0.000197200074394277	-9.689213094199456e-05	4.125083237460636e-05	-0.00016543038213745476	4.6588086568544185e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.030983924487415493	-0.06086344185851633	-0.28554008265579967	-0.06610582529820164	-7.003103307257064e-07	-5.70032688458344e-05	-3.974107573156971e-05	-1.042700574882538e-05	-3.4191657571902567e-06	3.201274477726557e-05
