observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_normalized__R_OG2P1-SG3O1	J_h_normalized__R_CG312-SG3O1	J_h_normalized__R_CG312-CG312	J_h_normalized__R_CG302-CG312	J_h_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_normalized__TH_FGA2-CG312-FGA2	J_h_normalized__TH_CG312-CG312-SG3O1	J_h_normalized__TH_FGA3-CG302-FGA3	J_h_normalized__LAMBDA_CS	J_h_normalized__LAMBDA_CC
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0006358590045495159	-0.0036544723048912405	-0.012657404773081958	-0.0013458113940656043	-0.0009348705028116859	-0.003819899352769844	-0.0018407095060800661	0.0007670310467257415	-3.2678302430456195e-05	5.6962606250490125e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0009698392973532425	-0.0023160310026291405	-0.011213591271649904	-0.002637540604700479	9.219502736040289e-05	-0.0010486524011306675	-0.0008320255678348533	-0.00028379951866477416	0.0001407090470268012	-6.252213141190803e-05
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0022355070111016416	-0.014961490462430635	-0.008226605401784394	0.0001386956858601975	0.002199068425179622	-0.0021472325700965115	0.0029181371708703876	5.298040885218547e-05	3.891672336354009e-05	7.863733337683014e-05
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0019972121242658944	-0.014370934996888907	-0.008354730638835536	-0.0016241277634452744	0.0018789256117655155	-0.00025732122470493296	0.0028084687360337697	0.0006404116074882219	0.0006184380505651515	-3.195883828710149e-05
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0002738741269620043	0.0002964689442273783	-0.008132520806078602	-0.004567739260125055	0.00040003977557368994	-0.0026356051369656095	-0.00017088316805038037	0.002449222703806902	0.0001415922838815017	-4.439874962038684e-05
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	-0.0008572082569164578	-0.0008990272999362898	-0.010957842318683266	-0.005346699836214202	0.0004187038527525584	-0.003581543718125718	-0.0005025767777458784	0.0032271536505382565	-0.0002581373173276	0.0001764368991039594
BOND|B|F7-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0007019807324007112	0.00020107344348800163	-0.005662126458990298	-0.006477301890023885	0.00014560476230582626	0.002475346065600798	0.00017635636006479375	-0.03421126782259747	0.0005078520958397744	-4.2912858100319085e-05
BOND|B|F8-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0007246739691040776	-8.36764971694986e-05	-0.0027987107777836958	-0.012991990932501954	3.610421421397348e-05	0.00039915189883887864	-0.00027343375417580396	-0.029662278918738155	0.0003219539757879117	2.998287100079248e-05
BOND|B|F9-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	-0.0002427412917831933	-9.355966201773924e-05	-0.0025112992610247056	-0.00748326888582667	0.0004977612748214966	0.000963050169950414	2.623781535556387e-05	-0.03333925960615707	-0.00039150174720633163	3.136983029511992e-05
BOND|B|C1-C2	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	-0.005333986280088647	-0.05115458914427203	0.5468420357929845	-0.008147005087504716	0.007144008719993323	0.01701228990063026	-0.03271173844105135	-0.00022608075490837578	4.205557445450792e-05	0.00019438928380335763
