observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_normalized__R_OG2P1-SG3O1	E_normalized__R_CG312-SG3O1	E_normalized__R_CG312-CG312	E_normalized__R_CG302-CG312	E_normalized__TH_OG2P1-SG3O1-OG2P1	E_normalized__TH_FGA2-CG312-FGA2	E_normalized__TH_CG312-CG312-SG3O1	E_normalized__TH_FGA3-CG302-FGA3	E_normalized__LAMBDA_CS	E_normalized__LAMBDA_CC
BOND|B|S1-O2	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.00023424617010731015	0.0002932157512451719	0.0005785795930609638	4.489481331869408e-05	0.00018739019781163953	0.00018930087730279377	0.0005396899313580106	0.00046673888034163966	0.0003722023692197919	0.0005661666745900979
BOND|B|S1-O3	bond	bond	OG2P1-SG3O1	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.00030089307980680515	0.0005136445488784851	0.00017677109840094925	0.0005685378578385746	8.277296842688422e-05	0.0003279587391318206	3.1455759040663896e-05	0.00028122112203124477	0.0002815104546785337	0.0009662771430248579
BOND|B|S1-C2	bond	bond	CG312-SG3O1	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	0.0011093587454774276	0.0010687375239882893	0.0049209715286637435	0.0016459866080463746	0.0017615915291608472	0.0011187747295185438	0.0011427725618373985	0.00198021302338328	0.002102354102105385	0.0025056696573942353
BOND|B|F1-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.0007203091117621663	0.0005154209020235272	0.00030834479751223545	0.0001005389319426454	2.3792170133431762e-05	9.516936358397618e-05	6.464535949880788e-05	8.148291420976257e-05	0.0006303234309551557	4.703875031036047e-05
BOND|B|F2-C1	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.0005043616931806735	8.888859393300855e-05	0.0001910138050557542	0.00013196029498302247	0.00020634773860743247	7.238724338655994e-05	0.00015796381240372134	9.326268170664207e-05	0.00025672483135340143	0.00017152347568747078
BOND|B|F3-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	1.8782792175149887e-05	0.00015361313577793708	3.8946931111795314e-05	0.00038089351925016775	0.00012438008067543486	0.00015333080019491583	0.00014702910619524622	6.674922340366756e-05	0.0005721487350020627	0.00010237327780679268
BOND|B|F4-C2	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.0005806574414816121	2.0665058419345153e-05	0.0008168466179104689	0.00042641027366035057	5.0207742154946834e-05	0.0002814296659980836	0.00019514335293652305	0.0002682736668471787	0.0011421686627211673	6.197341864612227e-05
BOND|B|F5-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.00012628307830439317	0.0005511489077492756	0.00011434905204790068	0.0002122016340883257	0.00017740054126379269	8.149898170285103e-05	6.656372809694239e-05	9.960077425749237e-05	0.00024488840631712607	1.572869300918954e-05
BOND|B|F6-C3	bond	bond	CG312-FGA2	B	GEO_B_REVISED	angstrom	0.11785113019775793	0.03	0.0007185468075932983	0.0004064026179574503	0.0002551864621242785	0.00027433671416973715	9.31746566099655e-05	0.00012502414023177191	5.614092188493894e-05	7.507227894837911e-05	0.0008039116649857103	0.0005515605910020227
BOND|B|F7-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.0011889736170682791	0.0007595849070911882	0.0017921771647565047	0.0001649052521828582	0.00015385186420276844	0.0003057045185209936	0.00019875913556417	0.0004932978652972947	0.0007269414986642132	7.472445655240379e-05
BOND|B|F8-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	0.00036924723270836886	0.00027158916094324867	0.0008679153146685007	0.00014210999488460728	0.00049449141894558	0.0004212656876707284	9.14474725428343e-05	0.00040623311989374395	0.0004148360909153666	0.00010854723491831287
BOND|B|F9-C4	bond	bond	CG302-FGA3	B	GEO_B_REVISED	angstrom	0.16666666666666666	0.03	7.211700652036065e-05	0.00011544105320077004	0.0004409710159150163	8.553857794251589e-05	0.00031182757036820995	0.00013602065073638485	0.00011669804861619026	7.319834620970289e-05	0.00045325723607663566	4.6486669855601714e-05
BOND|B|C1-C2	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	0.0005927229539547291	0.0018054807260493703	0.00014745734588945107	0.002241752435751544	0.0006029542218181867	0.0008463453997291422	0.0006288492820252627	0.0003588721358078933	0.00036587442836946937	0.0001245498657432177
BOND|B|C1-C3	bond	bond	CG312-CG312	B	GEO_B_REVISED	angstrom	0.20412414523193154	0.03	0.0011248004654649869	0.0029017949750137022	0.0014303884115011373	0.0006555965089099681	0.0013987720417487786	0.0013573309342749564	0.00025527965119943126	0.0004943237089908764	0.002358989990776318	0.0010212199594722333
BOND|B|C3-C4	bond	bond	CG302-CG312	B	GEO_B_REVISED	angstrom	0.2886751345948129	0.03	0.0006550235260538725	9.483925625650841e-05	0.002253470319223818	0.0009891231810505096	0.00022447318990698504	0.002261520233738741	0.0007475362118882661	0.0005446379179040271	0.003431711721941791	0.0012889269838854405
ANGLE|B|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	0.001646215126967986	0.0019122841407379645	0.00046773166790810603	0.0004176057356517103	0.0003258545538161759	0.00034336353253904196	0.0010843400707585536	0.0002673765234152327	0.002303786856544286	0.0010131326528239712
ANGLE|B|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	B	GEO_B_REVISED	degree	0.15075567228888181	3.0	0.0014497048535015208	0.0041460937502215195	0.0008643264700956091	0.002191526944864225	0.0007920060597743935	0.0013527917616457928	0.0012518831787831344	0.0004599107842853775	0.00043091056022762856	0.0010686175545952202
ANGLE|B|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	B	GEO_B_REVISED	degree	0.21320071635561041	3.0	0.0012955649069792121	0.006395984269282397	0.003687802009224484	0.0003050108286062097	0.0005895297796806546	0.0007434393099318288	0.0005566115247796925	0.0007999953290182287	0.0014239167308704836	4.202878974516017e-05
ANGLE|B|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	B	GEO_B_REVISED	degree	0.12309149097933272	3.0	0.0006711408990340055	0.00015784555683268745	0.0008555532102119385	0.0007060719545130111	4.0902922800424015e-05	0.0001623970366436662	9.680792435536341e-05	0.00026452518500164643	0.00039991315070310587	0.00012065726527663029
ANGLE|B|F1-C1-C2	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0015197532787064219	0.0006001439876914255	0.003171201302882592	0.0004042178811376206	0.00038068277741100246	0.0018384994592024815	0.0009445810110378439	0.0008441406223183156	0.002672313751119907	0.0004965204821632028
ANGLE|B|F1-C1-C3	angle	angle	CG312-CG312-FGA2	B	GEO_B_REVISED	degree	0.07537783614444091	3.0	0.0011180788424211491	0.0010059161725894672	0.0008055648363081323	0.0003791779930334951	6.120398189211959e-05	0.0008484591886074775	0.00020766845945920754	0.0002786337479205062	0.0012851766198801978	0.000523347388752692
